OrphaCode,Name,Linearization Class
251061,7q31 microdeletion syndrome,Rare developmental defect during embryogenesis
96092,8p inverted duplication/deletion syndrome,Rare developmental defect during embryogenesis
251066,8p11.2 deletion syndrome,Rare developmental defect during embryogenesis
251076,8p23.1 duplication syndrome,Rare developmental defect during embryogenesis
251071,8p23.1 microdeletion syndrome,Rare developmental defect during embryogenesis
228399,8q12 microduplication syndrome,Rare developmental defect during embryogenesis
284160,8q21.11 microdeletion syndrome,Rare developmental defect during embryogenesis
178303,8q22.1 microdeletion syndrome,Rare developmental defect during embryogenesis
508488,8q24.3 microdeletion syndrome,Rare developmental defect during embryogenesis
324313,9p13 microdeletion syndrome,Rare developmental defect during embryogenesis
531151,9q21.13 microdeletion syndrome,Rare neurologic disease
401923,9q31.1q31.3 microdeletion syndrome,Rare neurologic disease
495818,9q33.3q34.11 microdeletion syndrome,Rare developmental defect during embryogenesis
85445,AA amyloidosis,Rare systemic or rheumatologic disease
93560,AApoAI amyloidosis,Rare renal disease
238269,AApoAII amyloidosis,Rare renal disease
439232,AApoAIV amyloidosis,Rare renal disease
915,Aarskog-Scott syndrome,Rare developmental defect during embryogenesis
916,Aase-Smith syndrome,Rare developmental defect during embryogenesis
324723,"ABeta amyloidosis, Arctic type",Rare neurologic disease
100006,"ABeta amyloidosis, Dutch type",Rare neurologic disease
324708,"ABeta amyloidosis, Iowa type",Rare neurologic disease
324713,"ABeta amyloidosis, Italian type",Rare neurologic disease
324718,ABetaA21G amyloidosis,Rare neurologic disease
324703,ABetaL34V amyloidosis,Rare neurologic disease
14,Abetalipoproteinemia,Rare endocrine disease
920,Ablepharon macrostomia syndrome,Rare developmental defect during embryogenesis
99089,Abnormal number of coronary ostia,Rare developmental defect during embryogenesis
99050,Abnormal origin of right or left pulmonary artery from the aorta,Rare developmental defect during embryogenesis
97345,ABri amyloidosis,Rare neurologic disease
921,Abruzzo-Erickson syndrome,Rare developmental defect during embryogenesis
2310,Absence deformity of leg-cataract syndrome,Rare developmental defect during embryogenesis
1658,Absence of fingerprints-congenital milia syndrome,Rare skin disease
99112,Absence of innominate vein,Rare developmental defect during embryogenesis
980,Absence of the pulmonary artery,Rare developmental defect during embryogenesis
180142,Absence of uterine body,Rare developmental defect during embryogenesis
3016,Absent radius-anogenital anomalies syndrome,Rare developmental defect during embryogenesis
2951,Absent thumb-short stature-immunodeficiency syndrome,Rare developmental defect during embryogenesis
3328,Absent tibia-polydactyly-arachnoid cyst syndrome,Rare developmental defect during embryogenesis
945,Acalvaria,Rare developmental defect during embryogenesis
79468,Acanthokeratolytic verrucous nevus,Rare skin disease
90301,Acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome,Rare endocrine disease
926,Acatalasemia,Rare inborn errors of metabolism
99061,Accessory mitral valve tissue,Rare developmental defect during embryogenesis
674,Accessory pancreas,Rare developmental defect during embryogenesis
95462,Accessory tricuspid valve tissue,Rare developmental defect during embryogenesis
48818,Aceruloplasminemia,Rare neurologic disease
99736,Acetazolamide-responsive myotonia,Rare neurologic disease
929,Achalasia-microcephaly syndrome,Rare developmental defect during embryogenesis
294983,Acheiria,Rare developmental defect during embryogenesis
931,Acheiropodia,Rare developmental defect during embryogenesis
932,Achondrogenesis,Rare bone disease
93299,Achondrogenesis type 1A,Rare bone disease
93298,Achondrogenesis type 1B,Rare bone disease
93296,Achondrogenesis type 2,Rare bone disease
15,Achondroplasia,Rare bone disease
49382,Achromatopsia,Rare ophthalmic disorder
424046,Acinar cell carcinoma of pancreas,Rare neoplastic disease
40366,Acitretin/etretinate embryopathy,Rare developmental defect during embryogenesis
90065,Acquired aneurysmal subarachnoid hemorrhage,Rare neurologic disease
100056,Acquired angioedema type 1,Rare systemic or rheumatologic disease
100055,Acquired angioedema type 2,Rare systemic or rheumatologic disease
528663,Acquired angioedema with C1Inh deficiency,Rare systemic or rheumatologic disease
95626,Acquired central diabetes insipidus,Rare endocrine disease
228285,Acquired cutis laxa,Rare skin disease
404514,Acquired cystic disease-associated renal cell carcinoma,Rare neoplastic disease
599490,Acquired factor V deficiency,Rare hematologic disease
599495,Acquired factor VII deficiency,Rare hematologic disease
599501,Acquired factor X deficiency,Rare hematologic disease
599507,Acquired factor XI deficiency,Rare hematologic disease
599513,Acquired factor XIII deficiency,Rare hematologic disease
79086,Acquired generalized lipodystrophy,Rare endocrine disease
158057,Acquired hemophagocytic lymphohistiocytosis associated with malignant disease,Rare immune disease
599480,Acquired hemophilia A,Rare hematologic disease
599485,Acquired hemophilia B,Rare hematologic disease
2221,Acquired hypertrichosis lanuginosa,Rare skin disease
454,Acquired ichthyosis,Rare skin disease
75564,Acquired idiopathic sideroblastic anemia,Rare hematologic disease
37559,Acquired kinky hair syndrome,Rare skin disease
464453,Acquired methemoglobinemia,Rare hematologic disease
91136,Acquired monoclonal Ig light chain-associated Fanconi syndrome,Rare renal disease
79087,Acquired partial lipodystrophy,Rare endocrine disease
314697,Acquired porencephaly,Rare developmental defect during embryogenesis
26348,Acquired prothrombin deficiency,Rare hematologic disease
228247,Acquired pseudoxanthoma elasticum,Rare skin disease
49566,Acquired purpura fulminans,Rare hematologic disease
485275,Acquired schizencephaly,Rare developmental defect during embryogenesis
99147,Acquired von Willebrand syndrome,Rare hematologic disease
263534,Acral peeling skin syndrome,Rare skin disease
90396,Acral persistent papular mucinosis,Rare skin disease
281127,Acral self-healing collodion baby,Rare skin disease
36,Acrocallosal syndrome,Rare developmental defect during embryogenesis
63446,Acrocapitofemoral dysplasia,Rare bone disease
2008,Acrocardiofacial syndrome,Rare developmental defect during embryogenesis
221054,Acrocephalopolydactyly,Rare developmental defect during embryogenesis
949,Acrocraniofacial dysostosis,Rare developmental defect during embryogenesis
163931,Acrodermatitis continua of Hallopeau,Rare skin disease
37,Acrodermatitis enteropathica,Rare skin disease
950,Acrodysostosis,Rare bone disease
2956,Acrodysplasia scoliosis,Rare developmental defect during embryogenesis
1786,"Acrofacial dysostosis, Catania type",Rare developmental defect during embryogenesis
64542,"Acrofacial dysostosis, Kennedy-Teebi type",Rare developmental defect during embryogenesis
1787,"Acrofacial dysostosis, Palagonia type",Rare developmental defect during embryogenesis
1788,"Acrofacial dysostosis, Rodríguez type",Rare developmental defect during embryogenesis
952,"Acrofacial dysostosis, Weyers type",Rare developmental defect during embryogenesis
1784,Acrofrontofacionasal dysostosis,Rare developmental defect during embryogenesis
2500,Acrogeria,Rare skin disease
38,Acrokeratoelastoidosis of Costa,Rare skin disease
79151,Acrokeratosis verruciformis of Hopf,Rare skin disease
963,Acromegaly,Rare endocrine disease
39,Acromelanosis,Rare skin disease
1827,Acromelic frontonasal dysplasia,Rare developmental defect during embryogenesis
2098,"Acromesomelic dysplasia, Grebe type",Rare bone disease
968,"Acromesomelic dysplasia, Hunter-Thompson type",Rare bone disease
40,"Acromesomelic dysplasia, Maroteaux type",Rare bone disease
969,Acromicric dysplasia,Rare bone disease
363665,Acroosteolysis-keloid-like lesions-premature aging syndrome,Rare skin disease
2980,Acrootoocular syndrome,Rare developmental defect during embryogenesis
85203,Acropectoral syndrome,Rare developmental defect during embryogenesis
957,Acropectorovertebral dysplasia,Rare developmental defect during embryogenesis
971,Acrorenal syndrome,Rare developmental defect during embryogenesis
958,Acro-renal-mandibular syndrome,Rare developmental defect during embryogenesis
959,Acro-renal-ocular syndrome,Rare developmental defect during embryogenesis
254395,Actinic lichen planus,Rare skin disease
330061,Actinic prurigo,Rare skin disease
457095,Actinomycosis,Rare infectious disease
163696,Action myoclonus-renal failure syndrome,Rare neurologic disease
397596,Activated PI3K-delta syndrome,Rare immune disease
73423,Acute ackee fruit intoxication,Rare disorder due to toxic effects
95409,Acute adrenal insufficiency,Rare endocrine disease
284460,Acute annular outer retinopathy,Rare ophthalmic disorder
86849,Acute basophilic leukemia,Rare neoplastic disease
529799,Acute bilirubin encephalopathy,Rare neurologic disease
83597,Acute disseminated encephalomyelitis,Rare neurologic disease
592894,Acute disseminated encephalomyelitis with anti-MOG antibodies,Rare neurologic disease
592900,Acute disseminated encephalomyelitis without anti-MOG antibodies,Rare neurologic disease
363549,Acute encephalopathy with biphasic seizures and late reduced diffusion,Rare neurologic disease
279888,Acute endophthalmitis,Rare ophthalmic disorder
318,Acute erythroid leukemia,Rare neoplastic disease
243367,Acute fatty liver of pregnancy,Rare hepatic disease
623801,Acute flaccid myelitis,Rare neurologic disease
293173,Acute generalized exanthematous pustulosis,Rare skin disease
99920,Acute graft versus host disease,Rare immune disease
217371,Acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins,Rare hepatic disease
466794,Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,Rare neurologic disease
370088,Acute infantile liver failure-multisystemic involvement syndrome,Rare hepatic disease
98916,Acute inflammatory demyelinating polyradiculoneuropathy,Rare neurologic disease
79276,Acute intermittent porphyria,Rare inborn errors of metabolism
79126,Acute interstitial pneumonia,Rare respiratory disease
90062,Acute liver failure,Rare hepatic disease
178320,Acute lung injury,Rare respiratory disease
488239,Acute macular neuroretinopathy,Rare ophthalmic disorder
566393,Acute mast cell leukemia,Rare neoplastic disease
518,Acute megakaryoblastic leukemia,Rare neoplastic disease
99887,Acute megakaryoblastic leukemia in Down syndrome,Rare neoplastic disease
329469,Acute megakaryoblastic leukemia without Down syndrome,Rare neoplastic disease
514,Acute monoblastic/monocytic leukemia,Rare neoplastic disease
98917,Acute motor and sensory axonal neuropathy,Rare neurologic disease
98918,Acute motor axonal neuropathy,Rare neurologic disease
98834,Acute myeloblastic leukemia with maturation,Rare neoplastic disease
98833,Acute myeloblastic leukemia without maturation,Rare neoplastic disease
86845,Acute myeloid leukaemia with myelodysplasia-related features,Rare neoplastic disease
102379,Acute myeloid leukemia and myelodysplastic syndromes related to alkylating agent,Rare neoplastic disease
164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,Rare neoplastic disease
102381,Acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor,Rare neoplastic disease
98831,Acute myeloid leukemia with 11q23 abnormalities,Rare neoplastic disease
98829,Acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22),Rare neoplastic disease
319480,Acute myeloid leukemia with CEBPA somatic mutations,Rare neoplastic disease
402020,Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2),Rare neoplastic disease
98832,Acute myeloid leukemia with minimal differentiation,Rare neoplastic disease
402026,Acute myeloid leukemia with NPM1 somatic mutations,Rare neoplastic disease
402014,Acute myeloid leukemia with t(6;9)(p23;q34),Rare neoplastic disease
370026,Acute myeloid leukemia with t(8;16)(p11;p13) translocation,Rare neoplastic disease
102724,Acute myeloid leukemia with t(8;21)(q22;q22) translocation,Rare neoplastic disease
402017,Acute myeloid leukemia with t(9;11)(p22;q23),Rare neoplastic disease
585867,Acute myeloid leukemia with t(9;22)(q34.1;q11.2),Rare neoplastic disease
517,Acute myelomonocytic leukemia,Rare neoplastic disease
263524,Acute necrotizing encephalopathy of childhood,Rare infectious disease
247546,Acute neonatal citrullinemia type I,Rare inborn errors of metabolism
35889,Acute opioid intoxication,Rare disorder due to toxic effects
231457,Acute pandysautonomia,Rare neurologic disease
86843,Acute panmyelosis with myelofibrosis,Rare neoplastic disease
90064,Acute peripheral arterial occlusion,Rare circulatory system disease
43119,Acute poisoning by drugs with membrane-stabilizing effect,Rare disorder due to toxic effects
520,Acute promyelocytic leukemia,Rare neoplastic disease
231450,Acute pure sensory neuropathy,Rare neurologic disease
454831,Acute radiation syndrome,Rare disorder due to toxic effects
615964,Acute reversible leukoencephalopathy with increased urinary alpha-ketoglutarate,Rare neurologic disease
231466,Acute sensory ataxic neuropathy,Rare neurologic disease
139417,Acute transverse myelitis,Rare neurologic disease
592873,Acute transverse myelitis with anti-MOG antibodies,Rare neurologic disease
43117,Acute tricyclic antidepressant poisoning,Rare disorder due to toxic effects
98835,Acute undifferentiated leukemia,Rare neoplastic disease
284454,Acute zonal occult outer retinopathy,Rare ophthalmic disorder
99901,Acyl-CoA dehydrogenase 9 deficiency,Rare inborn errors of metabolism
100008,ACys amyloidosis,Rare neurologic disease
55881,Adamantinoma,Rare neoplastic disease
974,Adams-Oliver syndrome,Rare developmental defect during embryogenesis
97346,ADan amyloidosis,Rare neurologic disease
85138,Addison disease,Rare endocrine disease
2952,"Adducted thumbs-arthrogryposis syndrome, Christian type",Rare developmental defect during embryogenesis
976,Adenine phosphoribosyltransferase deficiency,Rare renal disease
213504,Adenocarcinoma of ovary,Rare neoplastic disease
424016,Adenocarcinoma of the anal canal,Rare neoplastic disease
213772,Adenocarcinoma of the cervix uteri,Rare neoplastic disease
99976,Adenocarcinoma of the esophagus,Rare neoplastic disease
424991,Adenocarcinoma of the gallbladder and extrahepatic biliary tract,Rare neoplastic disease
424943,Adenocarcinoma of the liver and intrahepatic biliary tract,Rare neoplastic disease
398053,Adenocarcinoma of the penis,Rare neoplastic disease
104075,Adenocarcinoma of the small intestine,Rare neoplastic disease
95512,Adenohypophysitis,Rare endocrine disease
213828,Adenoid basal carcinoma of the cervix uteri,Rare neoplastic disease
213823,Adenoid cystic carcinoma of the cervix uteri,Rare neoplastic disease
93292,Adenoma of pancreas,Rare abdominal surgical disease
213792,Adenosarcoma of the cervix uteri,Rare neoplastic disease
213600,Adenosarcoma of the corpus uteri,Rare neoplastic disease
45,Adenosine monophosphate deaminase deficiency,Rare inborn errors of metabolism
91127,Adenovirus infection in immunocompromised patients,Rare infectious disease
46,Adenylosuccinate lyase deficiency,Rare neurologic disease
482601,Adenylosuccinate synthetase-like 1-related distal myopathy,Rare neurologic disease
645626,Adermatopathic dermatomyositis,Rare systemic or rheumatologic disease
36397,Adiposis dolorosa,Rare skin disease
404448,ADNP syndrome,Rare neurologic disease
1501,Adrenocortical carcinoma,Rare neoplastic disease
231625,Adrenocortical carcinoma with pure aldosterone hypersecretion,Rare endocrine disease
139399,Adrenomyeloneuropathy,Rare inborn errors of metabolism
977,Adrenomyodystrophy,Rare endocrine disease
70578,Adult acute respiratory distress syndrome,Rare respiratory disease
2666,Adult familial nephronophthisis-spastic quadriparesia syndrome,Rare renal disease
210159,Adult hepatocellular carcinoma,Rare neoplastic disease
247676,Adult hypophosphatasia,Rare bone disease
2688,Adult idiopathic neutropenia,Rare immune disease
178487,Adult intestinal botulism,Rare infectious disease
206448,Adult Krabbe disease,Rare inborn errors of metabolism
79262,Adult neuronal ceroid lipofuscinosis,Rare neurologic disease
206583,Adult polyglucosan body disease,Rare inborn errors of metabolism
978,ADULT syndrome,Rare developmental defect during embryogenesis
86875,Adult T-cell leukemia/lymphoma,Rare neoplastic disease
99027,Adult-onset autosomal dominant leukodystrophy,Rare neurologic disease
284289,Adult-onset autosomal recessive cerebellar ataxia,Rare neurologic disease
255132,Adult-onset autosomal recessive sideroblastic anemia,Rare hematologic disease
420492,"Adult-onset cervical dystonia, DYT23 type",Rare neurologic disease
329336,Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy,Rare inborn errors of metabolism
329478,Adult-onset distal myopathy due to VCP mutation,Rare neurologic disease
199351,Adult-onset dystonia-parkinsonism,Rare neurologic disease
99000,Adult-onset foveomacular vitelliform dystrophy,Rare ophthalmic disorder
306431,Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies,Rare immune disease
329314,Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency,Rare inborn errors of metabolism
391490,Adult-onset myasthenia gravis,Rare neurologic disease
171442,Adult-onset nemaline myopathy,Rare neurologic disease
589830,Adult-onset Steinert myotonic dystrophy,Rare neurologic disease
829,Adult-onset Still disease,Rare systemic or rheumatologic disease
93562,AFib amyloidosis,Rare renal disease
101334,African tick typhus,Rare infectious disease
3385,African trypanosomiasis,Rare infectious disease
83617,Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,Rare developmental defect during embryogenesis
85448,AGel amyloidosis,Rare systemic or rheumatologic disease
99114,Agenesis of the superior vena cava,Rare developmental defect during embryogenesis
86873,Aggressive NK-cell leukemia,Rare neoplastic disease
98850,Aggressive systemic mastocytosis,Rare neoplastic disease
990,Agnathia-holoprosencephaly-situs inversus syndrome,Rare developmental defect during embryogenesis
442582,AH amyloidosis,Rare systemic or rheumatologic disease
412069,AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome,Rare neurologic disease
50,Aicardi syndrome,Rare developmental defect during embryogenesis
51,Aicardi-Goutières syndrome,Rare neurologic disease
250977,AICA-ribosiduria,Rare neurologic disease
90081,AIDS wasting syndrome,Rare immune disease
79085,AKT2-related familial partial lipodystrophy,Rare endocrine disease
85443,AL amyloidosis,Rare systemic or rheumatologic disease
404454,Alacrimia-choreoathetosis-liver dysfunction syndrome,Rare renal disease
52,Alagille syndrome,Rare developmental defect during embryogenesis
261600,Alagille syndrome due to 20p12 microdeletion,Rare developmental defect during embryogenesis
261619,Alagille syndrome due to a JAG1 point mutation,Rare developmental defect during embryogenesis
261629,Alagille syndrome due to a NOTCH2 point mutation,Rare developmental defect during embryogenesis
178333,Åland Islands eye disease,Rare ophthalmic disorder
2007,Alar cartilages hypoplasia-coloboma-telecanthus syndrome,Rare developmental defect during embryogenesis
319671,Alazami syndrome,Rare bone disease
53,Albers-Schönberg osteopetrosis,Rare bone disease
998,Albinism-deafness syndrome,Rare developmental defect during embryogenesis
35664,ALDH18A1-related De Barsy syndrome,Rare inborn errors of metabolism
439224,ALECT2 amyloidosis,Rare systemic or rheumatologic disease
58,Alexander disease,Rare neurologic disease
363717,Alexander disease type I,Rare neurologic disease
363722,Alexander disease type II,Rare neurologic disease
280071,ALG11-CDG,Rare inborn errors of metabolism
79324,ALG12-CDG,Rare inborn errors of metabolism
324422,ALG13-CDG,Rare inborn errors of metabolism
79327,ALG1-CDG,Rare inborn errors of metabolism
79326,ALG2-CDG,Rare inborn errors of metabolism
79321,ALG3-CDG,Rare inborn errors of metabolism
79320,ALG6-CDG,Rare inborn errors of metabolism
79325,ALG8-CDG,Rare inborn errors of metabolism
79328,ALG9-CDG,Rare inborn errors of metabolism
502444,Alkaline ceramidase 3 deficiency,Rare neurologic disease
56,Alkaptonuria,Rare inborn errors of metabolism
300903,ALK-negative anaplastic large cell lymphoma,Rare neoplastic disease
300895,ALK-positive anaplastic large cell lymphoma,Rare neoplastic disease
364043,ALK-positive large B-cell lymphoma,Rare neoplastic disease
59,Allan-Herndon-Dudley syndrome,Rare neurologic disease
