GardID	Name	OrphaCode	Linearization Class	SNOMED concept ID	code
1120.0	Carnitine palmitoyl transferase 1A deficiency	156	Rare inborn errors of metabolism	238001003.0	
1121.0	Carnitine palmitoyltransferase II deficiency	157	Rare inborn errors of metabolism	238002005.0	
5104.0	Systemic primary carnitine deficiency	158	Rare inborn errors of metabolism	21764004.0	
1123.0	Carnitine-acylcarnitine translocase deficiency	159	Rare inborn errors of metabolism	238003000.0	
12656.0	Castleman disease	160	Rare hematologic disease	207036003.0	
1160.0	Cataract-glaucoma syndrome	162	Rare ophthalmic disorder	718851007.0	
2806.0	Hereditary hyperferritinemia-cataract syndrome	163	Rare ophthalmic disorder	702398007.0	
6035.0	Chédiak-Higashi syndrome	167	Rare immune disease	111396008.0	
3287.0	Loose anagen syndrome	168	Rare skin disease	238735005.0	
4359.0	Ringed hair disease	169	Rare skin disease	21926007.0	
5597.0	Woolly hair	170	Rare skin disease	254231002.0	
1280.0	Primary sclerosing cholangitis	171	Rare hepatic disease	197441003.0	
15255.0	Progressive familial intrahepatic cholestasis	172	Rare hepatic disease	74162007.0	
6043.0	Cholera	173	Rare infectious disease	63650001.0	
7029.0	Metaphyseal chondrodysplasia, Schmid type	174	Rare bone disease	29248006.0	
6996.0	Cartilage-hair hypoplasia	175	Rare bone disease	7720002.0	
13160.0	Rhizomelic chondrodysplasia punctata	177	Rare bone disease	56692003.0	
1303.0	Chordoma	178	Rare neoplastic disease	1269046008.0	
5926.0	Birdshot chorioretinopathy	179	Rare ophthalmic disorder	231981005.0	
6061.0	Choroideremia	180	Rare ophthalmic disorder	75241009.0	
10427.0	X-linked hypohidrotic ectodermal dysplasia	181	Rare developmental defect during embryogenesis	239007005.0	
1319.0	Chromomycosis	182	Rare infectious disease	77798004.0	
6111.0	Eosinophilic granulomatosis with polyangiitis	183	Rare systemic or rheumatologic disease	82275008.0	M30.1
6036.0	Cherubism	184	Rare bone disease	76098004.0	
18680.0	Scimitar syndrome	185	Rare developmental defect during embryogenesis	39905002.0	
7459.0	Primary biliary cholangitis	186	Rare hepatic disease	31712002.0	K74.3
1084.0	Systemic capillary leak syndrome	188	Rare systemic or rheumatologic disease	87730004.0	
2056.0	Hidrotic ectodermal dysplasia	189	Rare developmental defect during embryogenesis	54209007.0	
6121.0	Coats disease	190	Rare developmental defect during embryogenesis	360455002.0	
6122.0	Cockayne syndrome	191	Rare developmental defect during embryogenesis	21086008.0	
6123.0	Coffin-Lowry syndrome	192	Rare developmental defect during embryogenesis	15182000.0	
6126.0	Cohen syndrome	193	Rare developmental defect during embryogenesis	56604005.0	
26.0	Cat-eye syndrome	195	Rare developmental defect during embryogenesis	26445008.0	
4017.0	Occipital horn syndrome	198	Rare inborn errors of metabolism	59399004.0	
10109.0	Cornelia de Lange syndrome	199	Rare developmental defect during embryogenesis	40354009.0	
18681.0	Isolated corpus callosum agenesis	200	Rare developmental defect during embryogenesis	5102002.0	
6202.0	Cowden syndrome	201	Rare developmental defect during embryogenesis	58037000.0	
1561.0	Crandall syndrome	202	Rare skin disease	278098005.0	
6956.0	Sporadic Creutzfeldt-Jakob disease	204	Rare neurologic disease	713060000.0	
16526.0	Crigler-Najjar syndrome	205	Rare hepatic disease	28259009.0	E80.5
6206.0	Crouzon syndrome	207	Rare developmental defect during embryogenesis	28861008.0	
9528.0	Cyclosporiasis	210	Rare infectious disease	716860005.0	
2428.0	Cystathioninuria	212	Rare inborn errors of metabolism	13003007.0	
6236.0	Cystinosis	213	Rare inborn errors of metabolism	190681003.0	
6237.0	Cystinuria	214	Rare renal disease	85020001.0	
3995.0	Congenital stationary night blindness	215	Rare ophthalmic disorder	232061009.0	
6242.0	Isolated Dandy-Walker malformation	217	Rare developmental defect during embryogenesis	14447001.0	
6243.0	Darier disease	218	Rare skin disease	48611009.0	
8573.0	Delta-sarcoglycan-related limb-girdle muscular dystrophy R6	219	Rare neurologic disease	718177001.0	
5576.0	Denys-Drash syndrome	220	Rare renal disease	236385009.0	
6263.0	Dermatomyositis	221	Rare systemic or rheumatologic disease	402425006.0	
2188.0	Erosive pustular dermatosis of the scalp	222	Rare skin disease	238733003.0	
7178.0	Nephrogenic diabetes insipidus	223	Rare renal disease	111395007.0	
4003.0	Maternally-inherited diabetes and deafness	225	Rare inborn errors of metabolism	237619009.0	
4319.0	Dihydropteridine reductase deficiency	226	Rare inborn errors of metabolism	58256000.0	
1872.0	Diphallia	227	Rare developmental defect during embryogenesis	253851000.0	
1654.0	Familial aortic dissection	229	Rare circulatory system disease	45894003.0	
1903.0	Dopamine beta-hydroxylase deficiency	230	Rare inborn errors of metabolism	237923004.0	
6286.0	Dracunculiasis	231	Rare infectious disease	396334002.0	B72
8614.0	Sickle cell anemia	232	Rare hematologic disease	127040003.0	
6288.0	Duane retraction syndrome	233	Rare ophthalmic disorder	60318001.0	
2793.0	Dubin-Johnson syndrome	234	Rare hepatic disease	44553005.0	
6290.0	Dubowitz syndrome	235	Rare developmental defect during embryogenesis	2593002.0	
18683.0	Trisomy 9p	236	Rare developmental defect during embryogenesis	77527000.0	
1975.0	Duplication of urethra	237	Rare developmental defect during embryogenesis	69015003.0	
18684.0	Digestive duplication	238	Rare developmental defect during embryogenesis	33257003.0	
6295.0	Dyggve-Melchior-Clausen disease	239	Rare bone disease	82699004.0	
3224.0	Léri-Weill dyschondrosteosis	240	Rare bone disease	17818006.0	
1996.0	Dyschromatosis universalis hereditaria	241	Rare skin disease	239082002.0	
5068.0	46,XY complete gonadal dysgenesis	242	Rare developmental defect during embryogenesis	95218005.0	
5671.0	46,XX gonadal dysgenesis	243	Rare developmental defect during embryogenesis	95198001.0	Q99.1
4484.0	Primary ciliary dyskinesia	244	Rare respiratory disease	86204009.0	
498.0	Nager syndrome	245	Rare developmental defect during embryogenesis	35520007.0	
8410.0	Postaxial acrofacial dysostosis	246	Rare developmental defect during embryogenesis	66038001.0	
2057.0	Autosomal recessive hypohidrotic ectodermal dysplasia	248	Rare developmental defect during embryogenesis	27025001.0	
6444.0	Fibrous dysplasia of bone	249	Rare bone disease	10623005.0	
2027.0	Early-onset generalized limb-onset dystonia	256	Rare neurologic disease	22451001.0	G24.1
2137.0	Epidermolysis bullosa simplex with muscular dystrophy	257	Rare skin disease	723308003.0	
3843.0	Laminin subunit alpha 2-related congenital muscular dystrophy	258	Rare neurologic disease	111503008.0	
6329.0	Emery-Dreifuss muscular dystrophy	261	Rare neurologic disease	111508004.0	
10229.0	Autosomal dominant limb-girdle muscular dystrophy type 1A	266	Rare neurologic disease	719985001.0	
1057.0	Calpain-3-related limb-girdle muscular dystrophy R1	267	Rare neurologic disease	715341003.0	
8574.0	Dysferlin-related limb-girdle muscular dystrophy R2	268	Rare neurologic disease	718179003.0	
9941.0	Facioscapulohumeral dystrophy	269	Rare neurologic disease	399091004.0	
7245.0	Oculopharyngeal muscular dystrophy	270	Rare neurologic disease	77097004.0	
6475.0	Congenital muscular dystrophy, Fukuyama type	272	Rare developmental defect during embryogenesis	111502003.0	
8310.0	Steinert myotonic dystrophy	273	Rare neurologic disease	77956009.0	
2470.0	Bernard-Soulier syndrome	274	Rare hematologic disease	54569005.0	
9987.0	Severe combined immunodeficiency due to DCLRE1C deficiency	275	Rare immune disease	715982006.0	
5618.0	T-B+ severe combined immunodeficiency due to gamma chain deficiency	276	Rare immune disease	765145001.0	
5748.0	Severe combined immunodeficiency due to adenosine deaminase deficiency	277	Rare immune disease	44940001.0	D81.3
7896.0	Wolf-Hirschhorn syndrome	280	Rare developmental defect during embryogenesis	718226002.0	
6213.0	Monosomy 5p	281	Rare developmental defect during embryogenesis	70173007.0	
1802.0	Demodicidosis	283	Rare infectious disease	414495006.0	
207.0	Alveolar echinococcosis	284	Rare infectious disease	21009004.0	
2081.0	Hypermobile Ehlers-Danlos syndrome	285	Rare systemic or rheumatologic disease	30652003.0	
2082.0	Vascular Ehlers-Danlos syndrome	286	Rare systemic or rheumatologic disease	17025000.0	
2088.0	Classical Ehlers-Danlos syndrome	287	Rare systemic or rheumatologic disease	715318006.0	
6621.0	Hereditary elliptocytosis	288	Rare hematologic disease	191169008.0	
1301.0	Ellis Van Creveld syndrome	289	Rare bone disease	62501005.0	
4744.0	Congenital rubella syndrome	290	Rare developmental defect during embryogenesis	1857005.0	P35.0
45.0	Congenital varicella syndrome	291	Rare developmental defect during embryogenesis	715223009.0	P35.8
2130.0	Congenital enterovirus infection	292	Rare infectious disease	716865000.0	
18687.0	Congenital herpes simplex virus infection	293	Rare developmental defect during embryogenesis	715337002.0	
1480.0	Fetal cytomegalovirus syndrome	294	Rare developmental defect during embryogenesis	276701009.0	P35.1
4236.0	Fetal parvovirus syndrome	295	Rare developmental defect during embryogenesis	715197005.0	
7251.0	Ollier disease	296	Rare bone disease	268274005.0	Q78.4
5216.0	Tick-borne encephalitis	297	Rare infectious disease	712986001.0	
9920.0	Mitochondrial neurogastrointestinal encephalomyopathy	298	Rare inborn errors of metabolism	718214007.0	
4539.0	Bifunctional enzyme deficiency	300	Rare inborn errors of metabolism	238068007.0	
6357.0	Epidermodysplasia verruciformis	302	Rare skin disease	19138001.0	
857.0	Benign familial infantile epilepsy	306	Rare neurologic disease	1237571004.0	
6808.0	Juvenile myoclonic epilepsy	307	Rare neurologic disease	6204001.0	
3876.0	Progressive myoclonic epilepsy type 1	308	Rare neurologic disease	230423006.0	
1039.0	Autosomal dominant epidermolytic ichthyosis	312	Rare skin disease	254167000.0	Q80.3
10803.0	Lamellar ichthyosis	313	Rare skin disease	205550003.0	
6878.0	Erythroderma desquamativum	314	Rare skin disease	7297005.0	
1722.0	Erythrokeratoderma ''en cocardes''	315	Rare skin disease	239062001.0	
18639.0	Progressive symmetric erythrokeratodermia	316	Rare skin disease	239063006.0	
16528.0	Erythrokeratodermia variabilis	317	Rare skin disease	70041004.0	
9620.0	Acute erythroid leukemia	318	Rare neoplastic disease	93451002.0	
6390.0	Skeletal Ewing sarcoma	319	Rare neoplastic disease	1268533001.0	
433.0	Apparent mineralocorticoid excess	320	Rare endocrine disease	237770005.0	
7035.0	Multiple osteochondromas	321	Rare bone disease	716742001.0	Q78.6
2207.0	Exstrophy-epispadias complex	322	Rare developmental defect during embryogenesis	1230270001.0	
6400.0	Fabry disease	324	Rare inborn errors of metabolism	16652001.0	
2926.0	Congenital factor II deficiency	325	Rare hematologic disease	33297000.0	
2237.0	Congenital factor V deficiency	326	Rare hematologic disease	88776002.0	
2238.0	Congenital factor VII deficiency	327	Rare hematologic disease	40855001.0	
6404.0	Congenital factor X deficiency	328	Rare hematologic disease	76642003.0	
9670.0	Congenital factor XI deficiency	329	Rare hematologic disease	49762007.0	D68.1
6558.0	Congenital factor XII deficiency	330	Rare hematologic disease	43217004.0	
10766.0	Congenital factor XIII deficiency	331	Rare hematologic disease	50189006.0	
3024.0	Congenital intrinsic factor deficiency	332	Rare hematologic disease	234361004.0	
6426.0	Farber disease	333	Rare inborn errors of metabolism	79935000.0	
9740.0	Familial atrial fibrillation	334	Rare cardiac disease	715395008.0	
2320.0	Congenital fibrinogen deficiency	335	Rare hematologic disease	31925001.0	
6445.0	Fibrodysplasia ossificans progressiva	337	Rare bone disease	82725007.0	M61.1
18689.0	Hemorrhagic fever-renal syndrome	340	Rare infectious disease	716864001.0	A98.5+
18689.0	Hemorrhagic fever-renal syndrome	340	Rare infectious disease	716864001.0	N08.0*
6421.0	Familial Mediterranean fever	342	Rare systemic or rheumatologic disease	12579009.0	
2788.0	Hyperimmunoglobulinemia D with periodic fever	343	Rare immune disease	403834003.0	
1883.0	Dissecting cellulitis of the scalp	345	Rare skin disease	77333008.0	L66.3
373.0	Quinquaud folliculitis decalvans	346	Rare skin disease	53593008.0	L66.2
2375.0	Frasier syndrome	347	Rare renal disease	445431000.0	
2400.0	Fructose-1,6-bisphosphatase deficiency	348	Rare inborn errors of metabolism	28183005.0	
6473.0	Fucosidosis	349	Rare inborn errors of metabolism	64716005.0	
3953.0	Galactosialidosis	351	Rare inborn errors of metabolism	35691006.0	
2429.0	Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5	353	Rare neurologic disease	718176005.0	
10891.0	GM1 gangliosidosis	354	Rare inborn errors of metabolism	238025006.0	
8233.0	Gaucher disease	355	Rare inborn errors of metabolism	190794006.0	
7690.0	Gerstmann-Straussler-Scheinker syndrome	356	Rare neurologic disease	67155006.0	
8547.0	Gitelman syndrome	358	Rare renal disease	707756004.0	
2491.0	Glioblastoma	360	Rare neoplastic disease	1259744002.0	
2498.0	Familial glucocorticoid deficiency	361	Rare endocrine disease	765326001.0	
16523.0	Glycogen storage disease due to glucose-6-phosphatase deficiency	364	Rare inborn errors of metabolism	7265005.0	
5714.0	Glycogen storage disease due to acid maltase deficiency	365	Rare inborn errors of metabolism	274864009.0	
9442.0	Glycogen storage disease due to glycogen debranching enzyme deficiency	366	Rare inborn errors of metabolism	66937008.0	
2520.0	Glycogen storage disease due to glycogen branching enzyme deficiency	367	Rare inborn errors of metabolism	11179002.0	
6528.0	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	Rare inborn errors of metabolism	55912009.0	
6529.0	Glycogen storage disease due to liver glycogen phosphorylase deficiency	369	Rare inborn errors of metabolism	29291001.0	
5686.0	Glycogen storage disease due to muscle phosphofructokinase deficiency	371	Rare inborn errors of metabolism	89597008.0	
7649.0	Simpson-Golabi-Behmel syndrome	373	Rare developmental defect during embryogenesis	439143004.0	
2551.0	Anti-glomerular basement membrane disease	375	Rare systemic or rheumatologic disease	50581000.0	M31.0+
2551.0	Anti-glomerular basement membrane disease	375	Rare systemic or rheumatologic disease	50581000.0	N08.5*
2553.0	Gordon syndrome	376	Rare developmental defect during embryogenesis	897570002.0	
7166.0	Gorlin syndrome	377	Rare developmental defect during embryogenesis	69408002.0	
6100.0	Chronic granulomatous disease	379	Rare immune disease	387759001.0	
6550.0	Greig cephalopolysyndactyly syndrome	380	Rare developmental defect during embryogenesis	32985001.0	
10913.0	Griscelli syndrome	381	Rare skin disease	37548006.0	
2578.0	Guanidinoacetate methyltransferase deficiency	382	Rare inborn errors of metabolism	124239003.0	
8517.0	Huriez syndrome	384	Rare skin disease	239076000.0	
2651.0	Hepatic cystic hamartoma	386	Rare hepatic disease	715397000.0	
6660.0	Hirschsprung disease	388	Rare gastroenterologic disease	204739008.0	
6858.0	Langerhans cell histiocytosis	389	Rare systemic or rheumatologic disease	65399007.0	
18692.0	Histoplasmosis	390	Rare infectious disease	12962009.0	
16529.0	Classic Hodgkin lymphoma	391	Rare neoplastic disease	762690000.0	
6666.0	Holt-Oram syndrome	392	Rare developmental defect during embryogenesis	19092004.0	
399.0	46,XX testicular difference of sex development	393	Rare developmental defect during embryogenesis	74398009.0	
6667.0	Classic homocystinuria	394	Rare inborn errors of metabolism	24308003.0	
2734.0	Homocystinuria due to methylene tetrahydrofolate reductase deficiency	395	Rare inborn errors of metabolism	41797007.0	
6657.0	Chronic hiccup	396	Rare neurologic disease	716771000.0	
9615.0	Giant cell arteritis	397	Rare systemic or rheumatologic disease	400130008.0	
6677.0	Huntington disease	399	Rare neurologic disease	58756001.0	G10
2764.0	Cystic echinococcosis	400	Rare infectious disease	74942003.0	
2787.0	Hymenolepiasis	401	Rare infectious disease	44917000.0	B71.0
2790.0	Familial hyperaldosteronism type I	403	Rare endocrine disease	703232003.0	
2789.0	Familial hyperaldosteronism type II	404	Rare endocrine disease	703233008.0	
10828.0	Familial hypocalciuric hypercalcemia	405	Rare endocrine disease	237885008.0	
7219.0	Glycine encephalopathy	407	Rare neurologic disease	237939006.0	
2807.0	Isolated glycerol kinase deficiency	408	Rare inborn errors of metabolism	297256008.0	
2824.0	Hyperkeratosis lenticularis perstans	409	Rare skin disease	28488007.0	
6703.0	Dysbetalipoproteinemia	412	Rare endocrine disease	398796005.0	
6556.0	Gyrate atrophy of choroid and retina	414	Rare ophthalmic disorder	276426004.0	
2830.0	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome	415	Rare inborn errors of metabolism	30287008.0	
16530.0	Primary hyperoxaluria	416	Rare renal disease	17901006.0	
2838.0	Neonatal severe primary hyperparathyroidism	417	Rare bone disease	715218009.0	
2847.0	Hyperprolinemia type 1	419	Rare inborn errors of metabolism	61071003.0	
16531.0	Idiopathic/heritable pulmonary arterial hypertension	422	Rare respiratory disease		I27.0
6964.0	Malignant hyperthermia of anesthesia	423	Rare neurologic disease	213026003.0	T88.3
2858.0	Familial hyperthyroidism due to mutations in TSH receptor	424	Rare endocrine disease	716743006.0	
2872.0	Apolipoprotein A-I deficiency	425	Rare endocrine disease	15346004.0	
16532.0	Familial hypoaldosteronism	427	Rare endocrine disease	715343000.0	
6724.0	Hypochondroplasia	429	Rare bone disease	205468002.0	
6734.0	Hypophosphatasia	436	Rare bone disease	190859005.0	
4721.0	Isolated right ventricular hypoplasia	439	Rare developmental defect during embryogenesis	718135001.0	
10428.0	Pure autonomic failure	441	Rare neurologic disease	84438001.0	
3390.0	Marie Unna hereditary hypotrichosis	444	Rare skin disease	254234005.0	
7172.0	Neonatal hemochromatosis	446	Rare hepatic disease	6160004.0	
7337.0	Paroxysmal nocturnal hemoglobinuria	447	Rare hematologic disease	1963002.0	
2657.0	Hepatoblastoma	449	Rare neoplastic disease	1268711001.0	
12491.0	X-linked lissencephaly with abnormal genitalia	452	Rare developmental defect during embryogenesis	717632002.0	
476.0	Acquired ichthyosis	454	Rare skin disease	8691004.0	L85.0
2966.0	Superficial epidermolytic ichthyosis	455	Rare skin disease	254169002.0	
6568.0	Harlequin ichthyosis	457	Rare skin disease	205548006.0	Q80.4
