GardID	ORPHAcode	SourceName	SNOMED concept ID
1808	99792	Dentin dysplasia-sclerotic bones syndrome	770943008
2496	97280	Glucagonoma	16424000
2787	401	Hymenolepiasis	44917000
2791	2312	Transient familial neonatal hyperbilirubinemia	47444008
2793	234	Dubin-Johnson syndrome	44553005
3248	2390	Lichtenstein syndrome	763668009
3531	3057	Monoamine oxidase A deficiency	718210003
1058	391327	X-linked calvarial hyperostosis	782786001
2197	1957	Esthesioneuroblastoma	1268528000
2216	3172	Eyebrow duplication-syndactyly syndrome	733070005
2521	796	Sandhoff disease	23849003
2541	1770	XY type gonadal dysgenesis-associated anomalies syndrome	733605002
3053	1485	Arthrogryposis-hyperkeratosis syndrome, lethal form	726620005
3559	2498	Syndactyly type 8	715442006
1855	2195	Dicarboxylic aminoaciduria	716747007
1859	1916	Diethylstilbestrol syndrome	716005004
2221	1969	Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome	782949007
2229	1972	Lethal faciocardiomelic dysplasia	719400000
2542	2855	Perrault syndrome	93466004
2546	1482	Gonococcal conjunctivitis	231858009
2816	217390	Combined immunodeficiency due to DOCK8 deficiency	1197205005
3568	2504	Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome	724145007
3575	1917	Fetal methylmercury syndrome	62110005
1874	714	Hemolytic anemia due to diphosphoglycerate mutase deficiency	62268000
1886	98912	Late-onset distal myopathy, Markesbery-Griggs type	770558006
1891	1685	Distomatosis	26089000
2256	93337	Polydactyly of an index finger	723446006
2258	99810	Familial porencephaly	1162864000
2259	2456	Familial supernumerary nipples	766927009
3077	2122	Kaposiform hemangioendothelioma	403983000
3579	26	Methylmalonic acidemia with homocystinuria	80887004
1096	555877	FLNA-related X-linked myxomatous valvular dysplasia	1186709006
1493	2665	Congenital mesoblastic nephroma	307604008
1496	99057	Congenital mitral stenosis	82458004
1503	1987	Femoral agenesis/hypoplasia	93255008
1512	972	Hereditary continuous muscle fiber activity	1231178006
1894	3439	Von Voss-Cherstvoy syndrome	719021005
1898	98995	Early-onset zonular cataract	21590003
1904	99796	Subcortical band heterotopia	253152005
2580	1661	X-linked corneal dermoid	715426004
3603	199642	Isolated congenital microcephaly	1148758003
1118	293843	3MC syndrome	720756005
1128	2767	Carpotarsal osteochondromatosis	389272007
1513	725	Continuous spikes and waves during sleep	230439004
1518	140927	Benign familial neonatal-infantile seizures	1231282002
1907	3427	Double outlet left ventricle	7368005
2305	1055	Congenital left ventricular aneurysm	253544001
2844	2102	GTP cyclohydrolase I deficiency	23447005
3090	65748	Multiple self-healing squamous epithelioma	254659009
3096	495	Transgrediens et progrediens palmoplantar keratoderma	239070006
1130	2902	Idiopathic chronic eosinophilic pneumonia	233692000
1133	85288	X-linked intellectual disability, Stocco Dos Santos type	718910006
2317	93932	FG syndrome type 1	1237179007
2320	335	Congenital fibrinogen deficiency	31925001
2327	2030	Fibrosarcoma	443250000
2865	2222	Hypertrichosis lanuginosa congenita	403799003
2871	2224	Hypertryptophanemia	721838005
2872	425	Apolipoprotein A-I deficiency	15346004
3283	2404	Loiasis	44250009
1159	98994	Total early-onset cataract	29590001
1160	162	Cataract-glaucoma syndrome	718851007
3786	309310	Mucopolysaccharidosis type 4B	238044004
3787	97282	VIPoma	253005002
3793	3347	Mounier-Kühn syndrome	57451009
1548	1389	Cortical blindness-intellectual disability-polydactyly syndrome	732251003
1551	2391	Congenitally short costocoracoid ligament	725101002
2000	98869	Congenital dyserythropoietic anemia type I	59548005
2001	98873	Congenital dyserythropoietic anemia type II	68870007
2005	182127	Extragonadal germinoma	782672006
2640	2132	Hemoglobin C disease	51053007
2651	386	Hepatic cystic hamartoma	715397000
2657	449	Hepatoblastoma	1268711001
2905	154	Familial isolated dilated cardiomyopathy	52029003
2906	31043	Primary hypomagnesemia with hypercalciuria and nephrocalcinosis without severe ocular involvement	725033008
3644	98938	Colobomatous microphthalmia	715771008
1191	254886	Autosomal recessive progressive external ophthalmoplegia	827117008
1195	85186	Endosteal sclerosis-cerebellar hypoplasia syndrome	254132000
2015	1795	Peripheral dysostosis	773985008
3112	98841	Anaplastic large cell lymphoma	702785000
3117	33543	Kleine-Levin syndrome	111488004
3668	98919	Miller Fisher syndrome	1767005
1394	324601	X-linked cleft palate and ankyloglossia	766761000
1583	1524	Craniomicromelic syndrome	725098001
2048	1810	Autosomal dominant hypohidrotic ectodermal dysplasia	7731005
2380	564003	Osteochondrosis of the metatarsal bone	818966007
2381	2723	Odontotrichomelic syndrome	239028001
2384	264200	14q22q23 microdeletion syndrome	771439009
2926	325	Congenital factor II deficiency	33297000
2930	2353	Schilbach-Rott syndrome	721902002
3350	34528	Autosomal dominant primary hypomagnesemia with hypocalciuria	725393000
3371	943	Malonic aciduria	361203007
3672	90031	Non-spherocytic hemolytic anemia due to hexokinase deficiency	191177007
1235	3282	Multifocal atrial tachycardia	49982000
1609	504	Creeping myiasis	417441005
2071	1997	Blepharo-cheilo-odontic syndrome	717911008
2410	2854	Fuhrmann syndrome	721296004
2684	483	Congenital high-molecular-weight kininogen deficiency	27312002
3382	2460	Van den Ende-Gupta syndrome	719845008
3388	2463	Marfanoid habitus-autosomal recessive intellectual disability syndrome	733062000
3396	2763	Osteocraniostenosis	722109008
3685	1205	Mitral atresia	23063005
3687	741	Familial mitral valve prolapse	233858000
3692	178364	Syndromic microphthalmia type 5	718761007
938	1264	Tricho-retino-dento-digital syndrome	719910004
942	128	Diphyllobothriasis	187151009
1248	99946	Autosomal dominant Charcot-Marie-Tooth disease type 2A1	717016001
3765	495930	Familial monosomy 7 syndrome	307340003
1433	98943	Coloboma of eye lens	204134008
1434	98944	Coloboma of iris	51485001
1436	98945	Coloboma of macula	737579002
1438	98947	Coloboma of optic disc	44295002
1629	423717	Cutaneous larva migrans	19362000
1633	2881	Cutaneous photosensitivity-lethal colitis syndrome	720820000
2418	591	Furuncular myiasis	1231142001
2430	251949	Ganglioglioma	87191000119100
2960	2272	Ichthyosis-oral and digital anomalies syndrome	732950006
3163	17	Fatal infantile lactic acidosis with methylmalonic aciduria	715338007
3401	2464	Marfanoid syndrome, De Silva type	732262003
3697	552	MODY	609561005
1641	357064	Autosomal recessive cutis laxa type 2B	778068007
2092	1902	Ehrlichiosis	240626005
2431	79257	GM1 gangliosidosis type 3	238027003
2988	935	Short-limb skeletal dysplasia with severe combined immunodeficiency	789777007
2995	1943	Early-onset progressive encephalopathy with migrant continuous myoclonus	724274009
3181	2371	Lethal Larsen-like syndrome	719409004
3426	168624	Familial scaphocephaly syndrome, McGillivray type	725030006
968	2946	Brachydactyly-long thumb syndrome	733454004
971	1246	Brachydactyly-nystagmus-cerebellar ataxia syndrome	205828009
1274	2888	Pierre Robin syndrome-faciodigital anomaly syndrome	723461007
1474	1216	Autosomal dominant congenital benign spinal muscular atrophy	763067000
1680	1570	Symbrachydactyly of hands and feet	41878001
1684	3232	Deafness-ear malformation-facial palsy syndrome	716243005
2125	99849	Glycogen storage disease due to muscle beta-enolase deficiency	1162916008
2130	292	Congenital enterovirus infection	716865000
2449	2623	Geleophysic dysplasia	28557005
2750	3383	Humerus trochlea aplasia	732928005
3188	2004	Laryngotracheoesophageal cleft	1230239009
3191	2372	Laryngocele	51523009
3440	2699	Median nodule of the upper lip	722034006
3445	2478	Megalencephalic leukoencephalopathy with subcortical cysts	703536004
983	93382	Brachydactyly type A6	715722003
1303	178	Chordoma	1269046008
1696	231679	Isolated growth hormone deficiency type II	237687003
2754	97340	Hunter-McAlpine syndrome	721227001
3460	618	Familial melanoma	726019003
3462	2482	Melhem-Fahl syndrome	732263008
3475	93969	Myelomeningocele	414667000
3480	66625	Cerebrooculonasal syndrome	720855003
992	2713	Oculoosteocutaneous syndrome	722061006
994	263482	Spondyloepiphyseal dysplasia, Maroteaux type	719204007
1328	96177	Ring chromosome 15 syndrome	763405000
1333	1443	Ring chromosome 19 syndrome	765484001
1334	1444	Ring chromosome 20 syndrome	23686004
2166	1459	Celiac disease-epilepsy-cerebral calcification syndrome	722386009
2485	98976	Congenital glaucoma	415176004
3024	332	Congenital intrinsic factor deficiency	234361004
3033	472	Isosporiasis	371423007
3482	1236	Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome	783005002
3491	2139	Hernández-Aguirre Negrete syndrome	721146009
1348	96173	Ring chromosome 9 syndrome	60650002
6584	251365	Sickle cell-hemoglobin C disease syndrome	35434009
6588	90038	Shiga toxin-associated hemolytic uremic syndrome	373421000
6589	540	Familial hemophagocytic lymphohistiocytosis	398250003
7071	79269	Sanfilippo syndrome type A	41572006
7072	79270	Sanfilippo syndrome type B	59990008
7073	79271	Sanfilippo syndrome type C	75238000
6608	210159	Adult hepatocellular carcinoma	1197204009
6626	774	Hereditary hemorrhagic telangiectasia	21877004
6866	110	Bardet-Biedl syndrome	5619004
6951	295047	Macrodactyly of toes	205342008
6880	64720	Leiomyosarcoma	443719001
6882	137839	Lemierre syndrome	1231140009
6893	99842	Leukocyte adhesion deficiency type I	234582006
6964	423	Malignant hyperthermia of anesthesia	213026003
7074	79272	Sanfilippo syndrome type D	15892005
6906	93558	Light chain deposition disease	373604002
6914	2148	Lissencephaly type 1 due to doublecortin gene mutation	715780008
6943	86869	Lymphomatoid granulomatosis	239940004
6944	98842	Lymphomatoid papulosis	31047003
6829	2340	Keratosis follicularis spinulosa decalvans	238626006
6414	444490	Familial chylomicronemia syndrome	1197489003
6840	157823	Klüver-Bucy syndrome	10651001
6842	563991	Osteochondrosis of the tarsal bone	818965006
6844	487	Krabbe disease	192782005
6427	99906	Farmer's lung disease	18690003
6429	466	Fatal familial insomnia	83157008
6858	389	Langerhans cell histiocytosis	65399007
6455	2044	Floating-Harbor syndrome	312214005
7002	88949	MUC1-related autosomal dominant tubulointerstitial kidney disease	726017001
7008	93964	Blepharospasm-oromandibular dystonia syndrome	230325003
6476	24	Fumaric aciduria	237983002
6670	91413	Congenital Horner syndrome	770626007
6485	52417	MALT lymphoma	445269007
7026	50251	Pleural mesothelioma	1268704000
6682	2185	Congenital hydrocephalus	47032000
6710	79101	Hyperprolinemia type 2	717181004
6514	251582	Gliomatosis cerebri	1268966009
6520	466026	Class I glucose-6-phosphate dehydrogenase deficiency	22933009
6544	99920	Acute graft versus host disease	402355000
7041	86879	Extranodal nasal NK/T cell lymphoma	414166008
6757	1676	Idiopathic pulmonary artery dilatation	93059006
6779	70590	Infantile apnea	724229002
6791	263479	Fuchs heterochromic iridocyclitis	11226001
6560	58017	Classic hairy cell leukemia	118613001
6795	97548	Right sided atrial isomerism	253336000
6798	2311	Autosomal recessive spondylocostal dysostosis	61367005
4967	2329	Karsch-Neugebauer syndrome	722032005
4081	490	Omphalomesenteric cyst	80880002
4570	2987	Antecubital pterygium syndrome	784351000
4680	1852	X-linked retinal dysplasia	715240000
4974	3275	Spondylocarpotarsal synostosis	702351004
4979	93349	X-linked spondyloepimetaphyseal dysplasia	770603000
3931	85408	Rheumatoid factor-negative polyarticular juvenile idiopathic arthritis	410797009
4085	221046	Poikiloderma with neutropenia	772126000
4569	2989	Familial pterygium of the conjunctiva	716197003
4695	3088	Revesz syndrome	723512008
4701	99756	Alveolar rhabdomyosarcoma	404053004
4702	99757	Embryonal rhabdomyosarcoma	404051002
4997	2903	Familial spontaneous pneumothorax	715219001
4118	141000	Orofaciodigital syndrome type 11	718681002
4573	79447	X-linked lethal multiple pterygium syndrome	763462004
4577	2999	Ptosis-strabismus-ectopic pupils syndrome	726619004
4704	93569	Polymyalgia rheumatica	65323003
4718	3102	Richieri Costa-Pereira syndrome	723998001
5003	841	Sebocystomatosis	109433009
5004	3184	Steatocystoma multiplex-natal teeth syndrome	719306007
3972	255229	Navajo neurohepatopathy	784346006
4133	251262	Familial osteochondritis dissecans	715899006
4151	2783	Autosomal dominant osteopetrosis type 1	1264041000
4428	2934	Polysyndactyly-cardiac malformation syndrome	724066002
4588	1207	Pulmonary atresia with ventricular septal defect	253591008
4589	99084	Peripheral pulmonary stenosis	286071000119109
4593	3161	Congenital pulmonary sequestration	18620009
4724	1441	Ring chromosome 17 syndrome	778043005
4738	3110	Rombo syndrome	721904001
4166	1338	Heart defect-tongue hamartoma-polysyndactyly syndrome	783738002
4752	2351	Kousseff syndrome	726083008
3994	1390	Night blindness-skeletal anomalies-dysmorphism syndrome	1237228009
3999	1884	Ectopia lentis-chorioretinal dystrophy-myopia syndrome	722437006
4001	2700	Noma	18116006
4169	2792	Otofaciocervical syndrome	763860004
4192	2800	Extramammary Paget disease	1268956001
4437	2941	Porencephaly-cerebellar hypoplasia-internal malformations syndrome	763821001
4439	79502	Punctate palmoplantar keratoderma type 2	765096001
4607	93585	Immune-mediated thrombotic thrombocytopenic purpura	439007008
4612	3005	Pyle disease	27837003
4774	832	Succinyl-CoA:3-oxoacid CoA transferase deficiency	238004006
4018	268861	Primary tethered cord syndrome	768939009
4203	2805	Partial pancreatic agenesis	719044008
4204	93292	Adenoma of pancreas	208061000119101
4213	93276	Polyostotic fibrous dysplasia	36517007
4777	806	Scott syndrome	128098009
4792	842	Testicular seminomatous germ cell tumor	1268721009
4222	2646	Parastremmatic dwarfism	722210007
4223	2825	PARC syndrome	771186004
4227	228140	Idiopathic ventricular fibrillation, non Brugada type	723866006
4832	93268	Short rib-polydactyly syndrome, Beemer-Langer type	254052001
4260	2439	Patterson-Stevenson-Fontaine syndrome	724069009
4470	2957	Guttmacher syndrome	722452004
4477	749	Congenital prekallikrein deficiency	1162804003
4833	93269	Short rib-polydactyly syndrome, Majewski type	72922008
4834	93270	Short rib-polydactyly syndrome, Saldino-Noonan type	726032008
4276	363665	Acroosteolysis-keloid-like lesions-premature aging syndrome	776417008
4867	3167	Siegler-Brewer-Carey syndrome	721076000
4883	101063	Situs inversus totalis	43876007
4886	2565	Mononen-Karnes-Senac syndrome	733095006
4311	2874	Phakomatosis pigmentokeratotica	723455009
4329	319646	PGM1-CDG	783717008
4500	39	Acromelanosis	239089006
4891	83629	Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome	719405005
3834	33108	Lethal multiple pterygium syndrome	60192008
4039	79433	Oculocutaneous albinism type 3	63450009
4331	443811	PGM3-CDG	1187623009
4337	3222	Phosphoribosylpyrophosphate synthetase superactivity	723454008
4508	2965	Prolactinoma	134209002
4513	2966	Properdin deficiency	81166004
4520	1331	Familial prostate cancer	715412008
3851	119	Beta-sarcoglycan-related limb-girdle muscular dystrophy R4	718850008
3856	64755	Becker nevus syndrome	5387003
3858	715	Glycogen storage disease due to muscle phosphorylase kinase deficiency	819953000
4054	2721	Odonto-onycho-dermal dysplasia	403762003
4060	2755	Orofaciodigital syndrome type 8	722106001
4359	169	Ringed hair disease	21926007
4365	2741	Ophthalmomandibulomelic dysplasia	715484003
4627	3026	Radial ray hypoplasia-choanal atresia syndrome	232373003
4931	2818	Spastic paraplegia-glaucoma-intellectual disability syndrome	733455003
3868	2587	Myeloperoxidase deficiency	129644003
3872	280620	Progressive myoclonic epilepsy type 6	783062001
3875	2590	Spinal muscular atrophy-progressive myoclonic epilepsy syndrome	703524005
4539	300	Bifunctional enzyme deficiency	238068007
4635	3018	Retinal ischemic syndrome-digestive tract small vessel hyalinosis-diffuse cerebral calcifications syndrome	724002003
4637	3021	RAPADILINO syndrome	702413000
4942	1217	Spinal atrophy-ophthalmoplegia-pyramidal syndrome	771238004
4945	83418	Proximal spinal muscular atrophy type 2	128212001
3892	25980	X-linked myopathy with excessive autophagy	719815005
4065	2730	Postaxial tetramelic oligodactyly	770946000
8696	216820	Osteogenesis imperfecta type 4	205497004
5661	79315	D-2-hydroxyglutaric aciduria	237960000
5538	1541	Craniosynostosis, Boston type	720817008
8476	99718	Leber plus disease	719430008
8479	538756	Familial multiple discoid fibromas	1222705009
8501	171723	White sponge nevus	389203001
8573	219	Delta-sarcoglycan-related limb-girdle muscular dystrophy R6	718177001
8580	1914	Vitamin K antagonist embryofetopathy	38323006
8583	306527	Isolated hereditary congenital facial paralysis	733091002
8659	93323	Fibular hemimelia	76744005
8526	171700	Diffuse panbronchiolitis	430476004
8529	295044	Macrodactyly of fingers	297195000
8592	98920	Spinal muscular atrophy with respiratory distress type 1	711483003
8660	221117	Gerstmann syndrome	36785009
5476	860	Congenitally uncorrected transposition of the great arteries	26146002
8661	2368	Gastroschisis	72951007
8695	216812	Osteogenesis imperfecta type 3	385483009
8550	86920	Dermatopathia pigmentosa reticularis	239088003
8555	93571	Dense deposit disease	722760002
5478	2899	Brachyolmia-amelogenesis imperfecta syndrome	716195006
5481	2551	Microspherophakia-metaphyseal dysplasia syndrome	724140002
5484	79466	Inflammatory linear verrucous epidermal nevus	399995006
5495	99916	Malignant Sertoli-Leydig cell tumor of the ovary	1284849005
8610	199282	Harlequin syndrome	14070001000004105
5507	3086	Autosomal dominant vitreoretinochoroidopathy	711162004
5648	166409	Photosensitive epilepsy	95208000
5653	251576	Gliosarcoma	1268701008
8692	1489	Whooping cough	27836007
8694	216796	Osteogenesis imperfecta type 1	385482004
5654	163699	Alveolar soft tissue sarcoma	1268531004
5184	3317	Thoracolaryngopelvic dysplasia	723556008
5186	530838	KRT1-related diffuse nonepidermolytic keratoderma	1222645005
5342	100071	Mosaic trisomy 3	764627005
5354	1747	Mosaic trisomy 7	764630003
8757	64742	Pleuropulmonary blastoma	1268899005
8759	99922	Ocular cicatricial pemphigoid	314757003
5388	3402	Transient tyrosinemia of the newborn	75387001
9179	75327	North Carolina macular dystrophy	312925009
9180	97560	Primary membranous glomerulonephritis	722119002
9181	86	Familial abdominal aortic aneurysm	715364001
9119	984	Pulmonary agenesis	66489009
9182	93293	Okihiro syndrome	699867001
5701	782	Axenfeld-Rieger syndrome	417604002
9142	2070	Eosinophilic gastroenteritis	359804008
9185	99898	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR1 deficiency	718230004
8711	268129	Spheroid body myopathy	765092004
8719	168552	Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome	782913006
8735	247667	Childhood-onset hypophosphatasia	30174008
5029	3200	Arthrogryposis-ectodermal dysplasia syndrome	786039009
5034	734	Alpha delta granule deficiency	128100009
5728	457095	Actinomycosis	11817007
5051	3190	Subpulmonary stenosis	448476001
5058	498602	Sugarman brachydactyly	1187132007
5062	99731	Isolated sulfite oxidase deficiency	40873003
5194	3002	Immune thrombocytopenia	13172003
5195	3324	Familial thrombomodulin anomalies	783256001
5202	3326	Thymic-renal-anal-lung dysplasia	723555007
9164	97238	Rippling muscle disease	709281006
5074	3248	Distal symphalangism	205281006
5204	93953	Familial thyroglossal duct cyst	717331000
5210	3328	Absent tibia-polydactyly-arachnoid cyst syndrome	733068001
5225	3338	Toriello-Carey syndrome	722477003
5885	228165	Baló concentric sclerosis	230380005
5090	3259	Syndactyly-polydactyly-ear lobe syndrome	783700001
5092	3262	Dobrow syndrome	782940006
9192	99936	Autosomal dominant Charcot-Marie-Tooth disease type 2B	717008005
5230	3341	Torticollis-keloids-cryptorchidism-renal dysplasia syndrome	771266007
5231	293165	Skin fragility-woolly hair-palmoplantar keratoderma syndrome	778010006
5237	293864	Hypoplastic pancreas-intestinal atresia-hypoplastic gallbladder syndrome	773673002
5671	243	46,XX gonadal dysgenesis	95198001
5747	314419	Ameloblastoma	285311001
5263	864	Trichofolliculoma	274899008
5749	454718	Holmes-Adie syndrome	24225004
9168	85195	Familial expansile osteolysis	254153009
9169	97346	ADan amyloidosis	783258000
5125	3291	Teebi-Shaltout syndrome	771265006
5128	3292	Tel Hashomer camptodactyly syndrome	719946008
5135	98819	Familial temporal lobe epilepsy	783739005
5140	180226	Embryonal carcinoma	1156454002
5267	3355	Trichoodontoonychial dysplasia	766813000
5289	93336	Polydactyly of a triphalangeal thumb	715710001
5148	294971	Tetra-amelia	702313004
5907	251595	Diffuse astrocytoma	1268961004
5290	2947	Triphalangeal thumbs-brachyectrodactyly syndrome	719951002
5304	1698	Mosaic trisomy 12	764463001
5681	33572	5-oxoprolinase deficiency	26132002
5860	251589	Anaplastic astrocytoma	1268719004
9177	137776	Lethal congenital contracture syndrome type 2	715419004
5317	1711	Mosaic trisomy 17	764622004
5331	1723	Mosaic trisomy 2	764623009
5818	99797	Anodontia	26624006
9158	53347	Brody myopathy	703530005
8295	1460	Isolated complex III deficiency	709414007
7751	238583	Hyperphenylalaninemia due to tetrahydrobiopterin deficiency	237913008
7759	97330	Thoracic outlet syndrome	128210009
8312	52530	Pseudo-von Willebrand disease	128115005
8333	69739	Athabaskan brainstem dysgenesis syndrome	720518006
8337	63999	IgG4-related mediastinitis	7377003
8343	168544	Spondylometaphyseal dysplasia, Golden type	773304004
8344	97345	ABri amyloidosis	783161005
8345	220436	Quebec platelet disorder	128101008
7777	64686	Tolosa-Hunt syndrome	95794005
8169	238593	IgG4-related mesenteritis	86422009
8349	100033	Hypomaturation amelogenesis imperfecta	109475005
7585	83311	Rocky Mountain spotted fever	186772009
7355	704	Pemphigus vulgaris	49420001
7360	767	Polyarteritis nodosa	155441006
7607	797	Sarcoidosis	31541009
7608	431272	X-linked scapuloperoneal muscular dystrophy	784352007
7617	454745	Kuru	86188000
7793	98871	Transient erythroblastopenia of childhood	234375006
8397	168598	Brain demyelination due to methionine adenosyltransferase deficiency	57835009
8195	76	Strongyloidiasis	1214006
8438	3387	Isolated anterior cervical hypertrichosis	717963001
7392	275864	Behavioral variant of frontotemporal dementia	716994006
7653	2882	Sitosterolemia	238104009
8468	252206	Melanoma and neural system tumor syndrome	717968005
7403	99928	Placental site trophoblastic tumor	237252008
7830	805	Tuberous sclerosis complex	7199000
8208	289326	Tropical spastic paraparesis	714279000
8216	2459	Mansonelliasis	240849009
7488	26790	Pseudomyxoma peritonei	307601000
7503	580951	Punctate inner choroidopathy	312950007
7692	826	Sporotrichosis	42094007
7867	903	Von Willebrand disease	1259242002
7871	898	Wagner disease	232064001
8223	86852	B-cell prolymphocytic leukemia	277619001
8225	98823	Chronic myelomonocytic leukemia	127225006
7708	2806	Subacute sclerosing leukoencephalitis	359686005
7525	3020	Ramsay Hunt syndrome	21954000
7570	3096	Reye syndrome	74351001
7710	35122	Congenital sucrase-isomaltase deficiency	78373000
7721	3273	Synovial sarcoma	1268484002
7883	83330	Proximal spinal muscular atrophy type 1	64383006
7888	83593	Western equine encephalitis	47523006
8238	251899	Choroid plexus carcinoma	1268702001
8427	34592	Immunodeficiency by defective expression of MHC class I	725136003
8433	99741	King-Denborough syndrome	764957003
8254	319266	Omsk hemorrhagic fever	48113006
8257	319254	Kyasanur forest disease	23097003
9294	65283	Timothy syndrome	1230096008
9299	73423	Acute ackee fruit intoxication	49434001
9404	498228	Phyllodes tumor of the prostate	1260182007
6039	139	CHILD syndrome	17608003
6353	251636	Ependymoma	443643007
9472	251630	Anaplastic oligodendroglioma	1268964007
6055	55880	Chondrosarcoma	447792005
6064	319303	Chromophobe renal cell carcinoma	1268500006
9514	180261	Phyllodes tumor of the breast	712989008
9318	46135	Primary central nervous system lymphoma	448254007
9420	2670	Pierson syndrome	723449004
6072	1440	Ring chromosome 14 syndrome	702345009
6077	1442	Ring chromosome 18 syndrome	88154004
9344	70573	Small cell lung cancer	1268348008
9430	93583	Congenital thrombotic thrombocytopenic purpura	373420004
6085	96068	Mosaic trisomy 22	764625002
9348	180247	Vaginal carcinoma	1268350000
9349	494418	Vulvar carcinoma	447882007
6104	67038	B-cell chronic lymphocytic leukemia	277474005
6114	247525	Citrullinemia type I	1149103000
6390	319	Skeletal Ewing sarcoma	1268533001
9441	420561	Temple-Baraitser syndrome	725140007
9481	88924	Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis	765331004
9373	454714	Plasma cell leukemia	95210003
9447	79263	Infantile neuronal ceroid lipofuscinosis	58258004
9448	295016	Camptodactyly of fingers	1163260008
9449	100067	Waterhouse-Friderichsen syndrome	36102002
9450	180176	Familial juvenile hypertrophy of the breast	770436006
9484	247245	Superficial siderosis	733200004
6125	98980	Cogan-Reese syndrome	404633004
9204	64748	Dejerine-Sottas syndrome	111499002
9208	64751	Hereditary motor and sensory neuropathy type 5	771143004
9452	91414	Pilomatrixoma	274901004
9486	88620	Isolated congenital anosmia	230502003
9487	2674	Cyprus facial-neuromusculoskeletal syndrome	732261005
6164	60041	Congenital heart block	46619002
